Nanaloveyuki/BitLogger	0.5.3	examples/text_formatter	Nanaloveyuki/BitLogger/examples/text_formatter		/assets/Nanaloveyuki/BitLogger@0.5.3/examples/text_formatter/text_formatter.wasm
NiHao124538/examine	0.1.0	cmd/main	NiHao124538/examine/cmd/main		/assets/NiHao124538/examine@0.1.0/cmd/main/main.wasm
oboard/morm	0.4.0	mormgen	oboard/morm/mormgen		/assets/oboard/morm@0.4.0/mormgen/mormgen.wasm
hustcer/ed25519	0.5.0	cmd/openssl-interop	hustcer/ed25519/cmd/openssl-interop		/assets/hustcer/ed25519@0.5.0/cmd/openssl-interop/openssl-interop.wasm
peter-jerry-ye/md-outline	0.2.1		peter-jerry-ye/md-outline		/assets/peter-jerry-ye/md-outline@0.2.1/md-outline.wasm
moonbit-community/miniio	0.2.1	demo	moonbit-community/miniio/demo		/assets/moonbit-community/miniio@0.2.1/demo/demo.wasm
robinfang/mold	0.3.0	examples/custom_filter	robinfang/mold/examples/custom_filter		/assets/robinfang/mold@0.3.0/examples/custom_filter/custom_filter.wasm
robinfang/mold	0.3.0	examples/email	robinfang/mold/examples/email		/assets/robinfang/mold@0.3.0/examples/email/email.wasm
robinfang/mold	0.3.0	examples/from_json	robinfang/mold/examples/from_json		/assets/robinfang/mold@0.3.0/examples/from_json/from_json.wasm
robinfang/mold	0.3.0	examples/hello	robinfang/mold/examples/hello		/assets/robinfang/mold@0.3.0/examples/hello/hello.wasm
robinfang/mold	0.3.0	examples/html_safe	robinfang/mold/examples/html_safe		/assets/robinfang/mold@0.3.0/examples/html_safe/html_safe.wasm
robinfang/mold	0.3.0	examples/include_loader	robinfang/mold/examples/include_loader		/assets/robinfang/mold@0.3.0/examples/include_loader/include_loader.wasm
robinfang/mold	0.3.0	examples/report	robinfang/mold/examples/report		/assets/robinfang/mold@0.3.0/examples/report/report.wasm
robinfang/mold	0.3.0	examples/site	robinfang/mold/examples/site		/assets/robinfang/mold@0.3.0/examples/site/site.wasm
Anxiu0101/yuegui	0.1.3	cmd/main	Anxiu0101/yuegui/cmd/main		/assets/Anxiu0101/yuegui@0.1.3/cmd/main/main.wasm
moonbit-community/embed	0.1.0		moonbit-community/embed	Embed files into a generated MoonBit source file.	/assets/moonbit-community/embed@0.1.0/embed.wasm
moonbit-community/meta-skill	0.1.0		moonbit-community/meta-skill	Create or revise minimal MoonBit WASM skills that package a runnable WASIp1 CLI with SKILL.md guidance for AI agents.	/assets/moonbit-community/meta-skill@0.1.0/meta-skill.wasm
justjavac/walkdir	0.1.6	examples/collect_all	justjavac/walkdir/examples/collect_all		/assets/justjavac/walkdir@0.1.6/examples/collect_all/collect_all.wasm
justjavac/walkdir	0.1.6	examples/files_only	justjavac/walkdir/examples/files_only		/assets/justjavac/walkdir@0.1.6/examples/files_only/files_only.wasm
justjavac/walkdir	0.1.6	examples/max_depth	justjavac/walkdir/examples/max_depth		/assets/justjavac/walkdir@0.1.6/examples/max_depth/max_depth.wasm
justjavac/template_codegen	0.1.2		justjavac/template_codegen		/assets/justjavac/template_codegen@0.1.2/template_codegen.wasm
Suquster/moonbit-pathfinding	0.0.3	cmd/main	Suquster/moonbit-pathfinding/cmd/main		/assets/Suquster/moonbit-pathfinding@0.0.3/cmd/main/main.wasm
Suquster/moonbit-pathfinding	0.0.3	examples/eight_puzzle	Suquster/moonbit-pathfinding/examples/eight_puzzle		/assets/Suquster/moonbit-pathfinding@0.0.3/examples/eight_puzzle/eight_puzzle.wasm
Suquster/moonbit-pathfinding	0.0.3	examples/maze_solver	Suquster/moonbit-pathfinding/examples/maze_solver		/assets/Suquster/moonbit-pathfinding@0.0.3/examples/maze_solver/maze_solver.wasm
Suquster/moonbit-pathfinding	0.0.3	examples/network_routing	Suquster/moonbit-pathfinding/examples/network_routing		/assets/Suquster/moonbit-pathfinding@0.0.3/examples/network_routing/network_routing.wasm
dowdiness/js_engine	0.3.0	benchmarks	dowdiness/js_engine/benchmarks		/assets/dowdiness/js_engine@0.3.0/benchmarks/benchmarks.wasm
dowdiness/js_engine	0.3.0	cmd/main	dowdiness/js_engine/cmd/main		/assets/dowdiness/js_engine@0.3.0/cmd/main/main.wasm
justjavac/ttl	0.1.1	examples/basic	justjavac/ttl/examples/basic		/assets/justjavac/ttl@0.1.1/examples/basic/basic.wasm
gmlewis/fonts	0.19.11	examples/canvas-checkerboard	gmlewis/fonts/examples/canvas-checkerboard		/assets/gmlewis/fonts@0.19.11/examples/canvas-checkerboard/canvas-checkerboard.wasm
gmlewis/fonts	0.19.11	examples/svg-checkerboard	gmlewis/fonts/examples/svg-checkerboard		/assets/gmlewis/fonts@0.19.11/examples/svg-checkerboard/svg-checkerboard.wasm
PerfectPan/agent-finder	0.1.2	agent_discovery_core	PerfectPan/agent-finder/agent_discovery_core		/assets/PerfectPan/agent-finder@0.1.2/agent_discovery_core/agent_discovery_core.wasm
justjavac/template_examples	0.1.1	filter_pipelines	justjavac/template_examples/filter_pipelines		/assets/justjavac/template_examples@0.1.1/filter_pipelines/filter_pipelines.wasm
justjavac/template_examples	0.1.1	hello	justjavac/template_examples/hello		/assets/justjavac/template_examples@0.1.1/hello/hello.wasm
justjavac/template_examples	0.1.1	layout	justjavac/template_examples/layout		/assets/justjavac/template_examples@0.1.1/layout/layout.wasm
justjavac/template_examples	0.1.1	list	justjavac/template_examples/list		/assets/justjavac/template_examples@0.1.1/list/list.wasm
PaiGack/moonbitqrcode	0.1.0	src/cmd/main	PaiGack/moonbitqrcode/src/cmd/main		/assets/PaiGack/moonbitqrcode@0.1.0/src/cmd/main/main.wasm
bobzhang/toml	0.4.1	cmd/toml	bobzhang/toml/cmd/toml		/assets/bobzhang/toml@0.4.1/cmd/toml/toml.wasm
Yoorkin/cowsay	0.1.0		Yoorkin/cowsay	Build and run Yoorkin's portable MoonBit cowsay CLI for WASM.	/assets/Yoorkin/cowsay@0.1.0/cowsay.wasm
